date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-02-02,California,State,Epsilon,959.0,73.83,415.85714285714,67.384259259259
2021-02-02,California,State,Total,1299.0,100.0,617.14285714285,100.0
2021-02-02,California,State,Other,305.0,23.48,185.71428571428,30.092592592593
2021-02-02,California,State,Beta,0.0,0.0,0.28571428571,0.046296296296
2021-02-02,California,State,Omicron,0.0,0.0,0.14285714285,0.023148148148
2021-02-02,California,State,Alpha,35.0,2.69,13.85714285714,2.24537037037
2021-02-02,California,State,Delta,0.0,0.0,0.57142857142,0.092592592593
2021-02-02,California,State,Gamma,0.0,0.0,0.71428571428,0.115740740741
2021-02-03,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-03,California,State,Omicron,3.0,0.28,0.57142857142,0.085947571981
2021-02-03,California,State,Delta,0.0,0.0,0.42857142857,0.064460678986
2021-02-03,California,State,Other,259.0,24.05,185.0,27.825526428878
2021-02-03,California,State,Total,1077.0,100.0,664.85714285714,100.0
2021-02-03,California,State,Alpha,28.0,2.6,16.14285714285,2.428018908466
2021-02-03,California,State,Gamma,0.0,0.0,0.71428571428,0.107434464976
2021-02-03,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-03,California,State,Beta,1.0,0.09,0.42857142857,0.064460678986
2021-02-03,California,State,Epsilon,786.0,72.98,461.57142857142,69.424151267727
2021-02-04,California,State,Alpha,16.0,3.11,14.71428571428,2.409920449228
2021-02-04,California,State,Delta,0.0,0.0,0.14285714285,0.023397285915
2021-02-04,California,State,Gamma,0.0,0.0,0.28571428571,0.04679457183
2021-02-04,California,State,Epsilon,391.0,76.07,441.14285714285,72.250818905007
2021-02-04,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-04,California,State,Beta,0.0,0.0,0.14285714285,0.023397285915
2021-02-04,California,State,Other,107.0,20.82,153.57142857142,25.152082358446
2021-02-04,California,State,Omicron,0.0,0.0,0.57142857142,0.093589143659
2021-02-04,California,State,Total,514.0,100.0,610.57142857142,100.0
2021-02-04,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-05,California,State,Other,80.0,28.57,157.71428571428,25.426070935053
2021-02-05,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-05,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-05,California,State,Omicron,0.0,0.0,0.57142857142,0.092123445417
2021-02-05,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-05,California,State,Epsilon,177.0,63.21,445.42857142857,71.810225702441
2021-02-05,California,State,Total,280.0,100.0,620.28571428571,100.0
2021-02-05,California,State,Alpha,23.0,8.21,16.42857142857,2.648549055735
2021-02-05,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-05,California,State,Beta,0.0,0.0,0.14285714285,0.023030861354
2021-02-06,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-06,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-06,California,State,Total,378.0,100.0,658.42857142857,100.0
2021-02-06,California,State,Omicron,0.0,0.0,0.57142857142,0.086786721632
2021-02-06,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-06,California,State,Alpha,14.0,3.7,18.14285714285,2.755478411803
2021-02-06,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-06,California,State,Beta,0.0,0.0,0.14285714285,0.021696680408
2021-02-06,California,State,Epsilon,268.0,70.9,472.28571428571,71.729225428509
2021-02-06,California,State,Other,96.0,25.4,167.28571428571,25.406812757648
2021-02-07,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-07,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-07,California,State,Delta,1.0,0.46,0.14285714285,0.021853146853
2021-02-07,California,State,Epsilon,166.0,76.85,473.14285714285,72.377622377622
2021-02-07,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-07,California,State,Beta,0.0,0.0,0.14285714285,0.021853146853
2021-02-07,California,State,Total,216.0,100.0,653.71428571428,100.0
2021-02-07,California,State,Other,45.0,20.83,161.42857142857,24.694055944056
2021-02-07,California,State,Omicron,0.0,0.0,0.42857142857,0.065559440559
2021-02-07,California,State,Alpha,4.0,1.85,18.42857142857,2.819055944056
2021-02-08,California,State,Total,514.0,100.0,611.14285714285,100.0
2021-02-08,California,State,Delta,0.0,0.0,0.14285714285,0.02337540907
2021-02-08,California,State,Epsilon,382.0,74.32,447.0,73.141654978962
2021-02-08,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-08,California,State,Alpha,19.0,3.7,19.85714285714,3.249181860683
2021-02-08,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-08,California,State,Omicron,0.0,0.0,0.42857142857,0.070126227209
2021-02-08,California,State,Other,113.0,21.98,143.57142857142,23.492286115007
2021-02-08,California,State,Beta,0.0,0.0,0.14285714285,0.02337540907
2021-02-08,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-09,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-09,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-09,California,State,Other,151.0,23.59,121.57142857142,23.514783089251
2021-02-09,California,State,Delta,0.0,0.0,0.14285714285,0.027631942526
2021-02-09,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-09,California,State,Total,640.0,100.0,517.0,100.0
2021-02-09,California,State,Alpha,23.0,3.59,18.14285714285,3.509256700746
2021-02-09,California,State,Epsilon,466.0,72.81,376.57142857142,72.837800497375
2021-02-09,California,State,Beta,0.0,0.0,0.14285714285,0.027631942526
2021-02-09,California,State,Omicron,0.0,0.0,0.42857142857,0.082895827577
2021-02-10,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-10,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-10,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-10,California,State,Other,160.0,30.02,107.42857142857,24.455284552846
2021-02-10,California,State,Alpha,24.0,4.5,17.57142857142,4.0
2021-02-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-02-10,California,State,Delta,0.0,0.0,0.14285714285,0.032520325203
2021-02-10,California,State,Epsilon,349.0,65.48,314.14285714285,71.512195121951
2021-02-10,California,State,Lambda,0.0,0.0,0.0,0.0
